Episode,Reward
1,-1231.535343
2,-6656.381034
3,-4014.701871
4,-1203.867397
5,-1444.636206
6,-697.450557
7,-5769.66142
8,-9213.94449
9,-794.988211
10,-2853.799712
11,-1056.425449
12,-7369.55933
13,-5615.878059
14,-4863.201622
15,-4322.933381
16,-6287.495148
17,-1462.591701
18,-3759.425664
19,-3166.267614
20,-3340.128144
21,-6043.291591
22,-9003.398237
23,-1287.715144
24,-5387.575815
25,-11016.231105
26,-4283.942466
27,-2607.85276
28,-898.802278
29,-4845.123921
30,-5899.527083
31,-3374.220471
32,-3962.394595
33,-5800.860908
34,-3495.875498
35,-1252.616507
36,-6557.117206
37,-4974.78561
38,-8844.544486
39,-2712.765049
40,-3979.597586
41,-5245.306939
42,-7904.018948
43,-5998.267123
44,-1089.27109
45,-2699.732179
46,-5543.070171
47,-4734.8575
48,-3000.110498
49,-1078.275357
50,-5457.816361
51,-3756.048497
52,-3828.972951
53,-6774.910287
54,-5152.463554
55,-630.945578
56,-3336.833991
57,-3522.776227
58,-542.446217
59,-5209.390274
60,-1916.278601
61,-4413.362056
62,-5648.392753
63,-3820.745227
64,-2068.578096
65,-3448.270505
66,-4049.329715
67,-1373.198155
68,-4257.004504
69,-4193.512405
70,-2430.219906
71,-5722.883659
72,-2802.690634
73,-7301.473214
74,-4158.786711
75,-3886.958405
76,-4065.733678
77,-2303.434758
78,-3203.672631
79,-1697.500153
80,-831.429071
81,-7586.463509
82,-4192.169536
83,-1980.862812
84,-1845.099098
85,-2107.480742
86,-1206.980301
87,-2115.475202
88,-8055.062015
89,-2830.979035
90,-2567.565868
91,-2759.498884
92,-1059.177887
93,-820.424698
94,-7122.182666
95,-1971.613697
96,-6066.08278
97,-1621.55485
98,-5721.209591
99,-3128.642189
100,-2077.887041
101,-1943.25867
102,-1129.271761
103,-3202.580963
104,-5005.268709
105,-1081.541984
106,-2003.862992
107,-3438.667593
108,-3482.635298
109,-1666.699771
110,-3508.609613
111,-1569.764225
112,-11741.258567
113,-4415.256435
114,-2258.148177
115,-2064.859331
116,-2495.742568
117,-2355.276909
118,-589.944542
119,-5279.502757
120,-1519.005545
121,-2430.903807
122,-1163.221881
123,-1820.249787
124,-5377.570323
125,-3046.468531
126,-3726.859094
127,-2759.408275
128,-2705.478668
129,-2216.51447
130,-1949.995314
131,-2054.818606
132,-1743.469178
133,-3213.180202
134,-2587.17091
135,-2115.882294
136,-2230.946385
137,-4737.955926
138,-1979.616076
139,-849.999866
140,-2871.509531
141,-2135.793371
142,-3047.960884
143,-2588.746209
144,-6886.456982
145,-3083.473605
146,-2867.214063
147,-3674.545263
148,-1701.834681
149,-1929.216299
150,-2124.550567
151,-3187.792882
152,-2959.835556
153,-4458.299407
154,-3987.11779
155,-2552.85524
156,-5800.128792
157,-973.298079
158,-2038.243683
159,-3506.028881
160,-3765.094009
161,-2692.349705
162,-2380.252228
163,-2442.431571
164,-1535.705443
165,-3606.738242
166,-3618.912445
167,-2845.842569
168,-4517.932596
169,-2705.334386
170,-1430.892102
171,-6914.945258
172,-1966.686573
173,-1963.928929
174,-4105.93397
175,-5434.923799
176,-1266.021852
177,-1931.186232
178,-2567.445934
179,-7464.428406
180,-766.119754
181,-1490.26462
182,-1283.972586
183,-1278.585021
184,-1023.969636
185,-3860.328433
186,-1775.349624
187,-3013.519543
188,-2537.663453
189,-3530.640404
190,-1904.728156
191,-4148.582285
192,-5271.353999
193,-2880.395234
194,-1859.575336
195,-2201.893379
196,-3023.983683
197,-2197.207452
198,-5685.329958
199,-2280.744898
200,-2239.282183
